Amazon Order ID,Odoo Order IDs,Odoo Order Names,Invoice Statuses,States,Amounts
302-5061501-9172306,201901; 198702,FBA302-5061501-9172306; FBA302-5061501-9172306,to invoice; invoiced,sale; sale,22.93; 30.976
306-3158532-3101140,182816; 182602,FBA306-3158532-3101140; FBA306-3158532-3101140,to invoice; to invoice,sale; sale,26.656; 26.669
303-6245560-3973967,181165; 181084,FBA303-6245560-3973967; FBA303-6245560-3973967,invoiced; no,sale; sale,80.284; 46.222
028-4079040-6911569,180689; 180576,FBA028-4079040-6911569; FBA028-4079040-6911569,invoiced; no,sale; sale,29.838; 29.814
404-4862606-5257135,180164; 180163; 179477,FBA404-4862606-5257135; FBA404-4862606-5257135; FBA404-4862606-5257135,invoiced; to invoice; to invoice,sale; sale; sale,28.98; 86.939; 28.98
407-5802760-3321967,178975; 178894,FBA407-5802760-3321967; FBA407-5802760-3321967,to invoice; invoiced,sale; sale,77.211; 25.737
303-8242179-8890711,175578; 175577,FBA303-8242179-8890711; FBA303-8242179-8890711,to invoice; to invoice,sale; sale,31.859; 26.995
305-8822360-5344313,175323; 174965,FBA305-8822360-5344313; FBA305-8822360-5344313,invoiced; invoiced,sale; sale,29.826; 27.528
403-1369103-0588303,174227; 174226,FBA403-1369103-0588303; FBA403-1369103-0588303,to invoice; invoiced,sale; sale,71.317; 106.976
306-1702290-9738735,174975; 174070,FBA306-1702290-9738735; FBA306-1702290-9738735,invoiced; invoiced,sale; sale,28.677; 22.93
305-7719602-8719536,174063; 173931,FBA305-7719602-8719536; FBA305-7719602-8719536,to invoice; to invoice,sale; sale,150.114; 100.08
303-3548160-5577111,173442; 173194,FBA303-3548160-5577111; FBA303-3548160-5577111,invoiced; no,sale; sale,28.677; 29.826
028-5133767-6877912,172868; 172720,FBA028-5133767-6877912; FBA028-5133767-6877912,invoiced; to invoice,sale; sale,77.815; 116.716
028-2221267-3757968,171952; 171525,FBA028-2221267-3757968; FBA028-2221267-3757968,invoiced; invoiced,sale; sale,137.601; 68.789
305-7253492-7866755,172587; 172457,FBA305-7253492-7866755; FBA305-7253492-7866755,to invoice; to invoice,sale; sale,57.367; 57.354
408-4528102-6190720,168990; 168968,FBA408-4528102-6190720; FBA408-4528102-6190720,to invoice; invoiced,sale; sale,28.98; 21.72
302-3291142-0820325,168789; 168751,FBA302-3291142-0820325; FBA302-3291142-0820325,invoiced; invoiced,sale; sale,28.677; 28.677
302-2444688-2684345,167837; 167309,FBA302-2444688-2684345; FBA302-2444688-2684345,to invoice; invoiced,sale; sale,51.667; 42.471
402-5977887-8719559,167311; 167310,FBA402-5977887-8719559; FBA402-5977887-8719559,to invoice; invoiced,sale; sale,26.16; 27.177
304-7931343-6092353,167163; 167081,FBA304-7931343-6092353; FBA304-7931343-6092353,invoiced; invoiced,sale; sale,29.826; 28.677
302-5157911-7018721,167596; 167418,FBA302-5157911-7018721; FBA302-5157911-7018721,to invoice; invoiced,sale; sale,28.677; 28.677
303-4790363-1071563,167456; 167455,FBA303-4790363-1071563; FBA303-4790363-1071563,to invoice; invoiced,sale; sale,14.883; 28.677
302-1754197-5006725,166670; 166626,FBA302-1754197-5006725; FBA302-1754197-5006725,invoiced; invoiced,sale; sale,39.023; 39.023
306-1951731-9129933,166306; 166257,FBA306-1951731-9129933; FBA306-1951731-9129933,to invoice; no,sale; sale,19.481; 28.677
304-1163529-8781917,166239; 163474,FBA304-1163529-8781917; FBA304-1163529-8781917,invoiced; invoiced,sale; sale,28.677; 30.976
402-6970331-1253152,163374; 162274,FBA402-6970331-1253152; FBA402-6970331-1253152,invoiced; invoiced,sale; sale,21.72; 28.98
408-1153632-2437963,162283; 162282; 162158,FBA408-1153632-2437963; FBA408-1153632-2437963; FBA408-1153632-2437963,to invoice; to invoice; invoiced,sale; sale; sale,24.14; 32.61; 65.219
028-4664531-8066725,166154; 162586,FBA028-4664531-8066725; FBA028-4664531-8066725,to invoice; no,sale; sale,30.976; 28.677
304-2002058-6712330,162597; 161900,FBA304-2002058-6712330; FBA304-2002058-6712330,to invoice; to invoice,sale; sale,28.677; 19.481
403-1851592-9427545,161313; 160826,FBA403-1851592-9427545; FBA403-1851592-9427545,invoiced; invoiced,sale; sale,27.77; 31.4
303-3394849-0909956,161923; 160795,FBA303-3394849-0909956; FBA303-3394849-0909956,invoiced; invoiced,sale; sale,28.69; 22.869
403-8377281-4121116,162326; 161698; 161177,FBA403-8377281-4121116; FBA403-8377281-4121116; FBA403-8377281-4121116,invoiced; to invoice; invoiced,sale; sale; sale,33.82; 26.56; 33.82
302-4962364-2497122,160298; 159723,FBA302-4962364-2497122; FBA302-4962364-2497122,invoiced; invoiced,sale; sale,28.677; 28.677
302-4416015-8525938,160156; 159879,FBA302-4416015-8525938; FBA302-4416015-8525938,to invoice; to invoice,sale; sale,29.004; 26.04
405-2107161-1985115,159342; 159341,FBA405-2107161-1985115; FBA405-2107161-1985115,to invoice; invoiced,sale; sale,59.23; 59.23
405-9734608-4704361,159566; 159348,FBA405-9734608-4704361; FBA405-9734608-4704361,invoiced; invoiced,sale; sale,32.61; 32.61
407-9823144-7251568,159340; 159227,FBA407-9823144-7251568; FBA407-9823144-7251568,invoiced; invoiced,sale; sale,22.93; 30.19
305-2789583-7993127,159103; 159002,FBA305-2789583-7993127; FBA305-2789583-7993127,invoiced; invoiced,sale; sale,28.677; 28.677
303-2733410-2625107,160451; 159074,FBA303-2733410-2625107; FBA303-2733410-2625107,invoiced; invoiced,sale; sale,28.677; 28.677
305-9627293-9645132,160742; 158889,FBA305-9627293-9645132; FBA305-9627293-9645132,invoiced; invoiced,sale; sale,28.677; 28.677
304-2693401-0398725,158762; 158761,FBA304-2693401-0398725; FBA304-2693401-0398725,invoiced; invoiced,sale; sale,86.031; 28.69
028-8424945-8147527,158646; 158104,FBA028-8424945-8147527; FBA028-8424945-8147527,invoiced; invoiced,sale; sale,28.677; 28.677
306-1954132-7002746,158896; 158196,FBA306-1954132-7002746; FBA306-1954132-7002746,invoiced; invoiced,sale; sale,28.69; 28.665
304-9087674-9077119,158101; 158100,FBA304-9087674-9077119; FBA304-9087674-9077119,invoiced; invoiced,sale; sale,22.93; 25.229
028-7315451-2021127,158509; 157529,FBA028-7315451-2021127; FBA028-7315451-2021127,to invoice; invoiced,sale; sale,28.677; 22.93
304-6420591-6667566,157417; 157416,FBA304-6420591-6667566; FBA304-6420591-6667566,to invoice; to invoice,sale; sale,31.702; 27.116
305-8877608-2281139,157381; 157380,FBA305-8877608-2281139; FBA305-8877608-2281139,to invoice; invoiced,sale; sale,28.677; 28.677
402-6847339-4194746,158506; 157526,FBA402-6847339-4194746; FBA402-6847339-4194746,invoiced; invoiced,sale; sale,31.4; 21.72
304-2828435-1344338,157385; 157384,FBA304-2828435-1344338; FBA304-2828435-1344338,to invoice; invoiced,sale; sale,28.677; 28.677
303-1170293-5869905,157509; 157508,FBA303-1170293-5869905; FBA303-1170293-5869905,invoiced; invoiced,sale; sale,28.677; 14.883
028-5802679-7877906,157605; 157604,FBA028-5802679-7877906; FBA028-5802679-7877906,to invoice; invoiced,sale; sale,28.677; 25.229
304-9837286-7630747,157769; 157768,FBA304-9837286-7630747; FBA304-9837286-7630747,to invoice; invoiced,sale; sale,28.677; 30.976
305-2863653-0904316,155527; 155526,FBA305-2863653-0904316; FBA305-2863653-0904316,to invoice; invoiced,sale; sale,22.93; 28.677
028-0680031-3460316,158051; 155729,FBA028-0680031-3460316; FBA028-0680031-3460316,invoiced; invoiced,sale; sale,28.677; 28.677
304-3799133-0764369,155509; 155508,FBA304-3799133-0764369; FBA304-3799133-0764369,invoiced; invoiced,sale; sale,28.677; 59.665
402-6887886-0343545,158877; 155742,FBA402-6887886-0343545; FBA402-6887886-0343545,invoiced; invoiced,sale; sale,32.61; 31.4
302-3241617-2545906,157984; 155695,FBA302-3241617-2545906; FBA302-3241617-2545906,to invoice; invoiced,sale; sale,28.677; 28.677
306-4803230-9656343,158292; 155821,FBA306-4803230-9656343; FBA306-4803230-9656343,invoiced; invoiced,sale; sale,29.826; 28.677
304-4905739-2594762,157937; 155518,FBA304-4905739-2594762; FBA304-4905739-2594762,invoiced; invoiced,sale; sale,28.677; 28.677
304-0793720-9467545,157976; 157975,FBA304-0793720-9467545; FBA304-0793720-9467545,to invoice; invoiced,sale; sale,28.677; 28.677
305-1031445-8829124,156809; 156808,FBA305-1031445-8829124; FBA305-1031445-8829124,to invoice; invoiced,sale; sale,30.976; 22.93
302-9231726-2697936,156780; 155649,FBA302-9231726-2697936; FBA302-9231726-2697936,to invoice; invoiced,sale; sale,25.229; 30.976
305-7424532-2447506,155726; 155725,FBA305-7424532-2447506; FBA305-7424532-2447506,to invoice; invoiced,sale; sale,28.677; 28.677
171-0677876-0641142,158053; 156916,FBA171-0677876-0641142; FBA171-0677876-0641142,invoiced; invoiced,sale; sale,28.98; 28.98
303-5019804-4460329,156730; 156729,FBA303-5019804-4460329; FBA303-5019804-4460329,to invoice; invoiced,sale; sale,25.229; 57.366
302-6511463-2772361,156947; 156946,FBA302-6511463-2772361; FBA302-6511463-2772361,to invoice; invoiced,sale; sale,25.229; 30.976
304-7914453-5087534,157865; 157864,FBA304-7914453-5087534; FBA304-7914453-5087534,to invoice; no,sale; sale,28.677; 28.677
028-1973384-7060324,156703; 156702,FBA028-1973384-7060324; FBA028-1973384-7060324,to invoice; no,sale; sale,28.677; 28.677
302-4929337-5442718,155844; 155409,FBA302-4929337-5442718; FBA302-4929337-5442718,invoiced; invoiced,sale; sale,29.826; 28.677
028-4464774-6426724,157138; 157137,FBA028-4464774-6426724; FBA028-4464774-6426724,to invoice; invoiced,sale; sale,45.86; 28.69
305-3530847-4177162,157116; 157115,FBA305-3530847-4177162; FBA305-3530847-4177162,to invoice; invoiced,sale; sale,28.677; 29.826
305-9312701-0020344,155914; 155913,FBA305-9312701-0020344; FBA305-9312701-0020344,invoiced; to invoice,sale; sale,28.677; 57.367
